yourlist:M201512109A0638DP3L	Entry
ENSG00000004897	I3L2Z8
ENSG00000004897	I3L328
ENSG00000004897	I3L394
ENSG00000004897	I3L3G1
ENSG00000004897	I3L3H6
ENSG00000004897	I3L3Y5
ENSG00000004897	K7EMA6
ENSG00000004897	P30260
ENSG00000004961	P53701
ENSG00000004975	I3L0M7
ENSG00000004975	I3L0Z8
ENSG00000004975	I3L2N2
ENSG00000004975	I3L2W9
ENSG00000004975	O14641
ENSG00000005001	I3L116
ENSG00000005001	I3L147
ENSG00000005001	Q9GZN4
ENSG00000005007	Q92900
ENSG00000005020	C9JQ17
ENSG00000005020	O75563
ENSG00000005059	Q9NWR8
ENSG00000005102	F8VXS6
ENSG00000005102	P50221
ENSG00000005156	K7EJR4
ENSG00000005156	K7ELY6
ENSG00000005156	K7ENR9
ENSG00000005156	K7EQB6
ENSG00000005156	K7ERZ5
ENSG00000005156	P49916
ENSG00000005175	Q9H6T3
ENSG00000005189	H3BM72
ENSG00000005189	H3BPB2
ENSG00000005189	H3BQ98
ENSG00000005189	H3BQP3
ENSG00000005189	H3BR13
ENSG00000005189	H3BRC7
ENSG00000005189	H3BRG1
ENSG00000005189	H3BSC5
ENSG00000005189	H3BSE4
ENSG00000005189	H3BUT7
ENSG00000005189	H3BV93
ENSG00000005194	H3BPG7
ENSG00000005194	H3BQ23
ENSG00000005194	H3BT65
ENSG00000005194	H3BTT4
ENSG00000005194	H3BTZ8
ENSG00000005194	H3BUG4
ENSG00000005194	H3BV90
ENSG00000005194	Q6FI81
ENSG00000005238	Q7L5A3
ENSG00000005249	P31323
ENSG00000005302	A6NLU8
ENSG00000005302	C9JKR8
ENSG00000005302	C9JXM9
ENSG00000005302	F8WC61
ENSG00000005302	H7BYE4
ENSG00000005302	Q8N5Y2
ENSG00000005339	I3L0Q1
ENSG00000005339	I3L293
ENSG00000005339	I3L3I5
ENSG00000005339	I3L466
ENSG00000005339	Q92793
ENSG00000005379	A0A0C4DGN5
ENSG00000005379	J3KSY4
ENSG00000005379	J3KT64
ENSG00000005379	O95153
ENSG00000005448	B9A049
ENSG00000005448	C9J016
ENSG00000005448	Q9H977
ENSG00000005469	C9J3D7
ENSG00000005469	Q9UKG9
ENSG00000005471	E7EQI1
ENSG00000005471	H7C0M2
ENSG00000005471	P21439
ENSG00000005483	A0A087WYW5
ENSG00000005483	C9JNE1
ENSG00000005483	C9JQ68
ENSG00000005483	C9JYI9
ENSG00000005483	E7ETZ7
ENSG00000005483	F8WAU9
ENSG00000005483	H7C4F3
ENSG00000005483	H7C5C4
ENSG00000005483	Q8IZD2
ENSG00000005483	S4R363
ENSG00000005486	Q6NTF9
ENSG00000005486	Q9UDT1
ENSG00000005513	P57073
ENSG00000005700	D6R9F4
ENSG00000005700	E7EPI0
ENSG00000005700	E9PDR5
ENSG00000005700	H0Y9N7
ENSG00000005700	Q9P2D0
ENSG00000005801	A0A087WT67
ENSG00000005801	C9JG37
ENSG00000005801	E9PIN4
ENSG00000005801	E9PIT0
ENSG00000005801	E9PIY8
ENSG00000005801	E9PLF5
ENSG00000005801	E9PLW9
ENSG00000005801	E9PMX5
ENSG00000005801	E9PNM0
ENSG00000005801	E9PPF8
ENSG00000005801	E9PSE6
ENSG00000005801	H0YDV1
ENSG00000005801	O14628
ENSG00000005810	A0A087WY34
ENSG00000005810	A0A0C4DGY7
ENSG00000005810	H7C3U4
ENSG00000005810	O75592
ENSG00000005812	C9J0Y7
ENSG00000005812	Q9UKT7
ENSG00000005882	D6R983
ENSG00000005882	D6RDN9
ENSG00000005882	D6RGV8
ENSG00000005882	D6RHG2
ENSG00000005882	D6RJH7
ENSG00000005882	Q15119
ENSG00000005884	D6R9X8
ENSG00000005884	H0YA32
ENSG00000005884	H0YA49
ENSG00000005884	K7EMU3
ENSG00000005884	K7EQJ2
ENSG00000005884	P26006
ENSG00000005893	H0YCG2
ENSG00000005893	P13473
ENSG00000005961	K7EKA6
ENSG00000005961	K7EP83
ENSG00000005961	P08514
ENSG00000006015	M0QYI9
ENSG00000006015	M0R0T3
ENSG00000006015	Q96EN9
ENSG00000006025	J3QLK7
ENSG00000006025	J3QSC2
ENSG00000006025	Q9BZF2
ENSG00000006042	C9J3Y0
ENSG00000006042	C9J6Q8
ENSG00000006042	J3QLG7
ENSG00000006042	J3QS57
ENSG00000006042	J9JIC8
ENSG00000006042	Q9Y2Y6
ENSG00000006047	I3L2D6
ENSG00000006047	Q9Y2T7
ENSG00000006071	E9PK50
ENSG00000006071	H0YDH8
ENSG00000006071	H0YE33
ENSG00000006071	H0YEA9
ENSG00000006071	H0YF51
ENSG00000006071	Q09428
ENSG00000006125	A0A087WU93
ENSG00000006125	A0A087WXS3
ENSG00000006125	A0A087WYD1
ENSG00000006125	A0A087WZQ6
ENSG00000006125	A0A087X253
ENSG00000006125	K7EJ01
ENSG00000006125	K7EJX1
ENSG00000006125	K7EKZ5
ENSG00000006125	K7EMN7
ENSG00000006125	K7EN71
ENSG00000006125	K7ERB2
ENSG00000006125	P63010
ENSG00000006194	B4DI05
ENSG00000006194	I3L0N0
ENSG00000006194	I3L2X3
ENSG00000006194	I3L393
ENSG00000006194	I3L4C4
ENSG00000006194	I3L538
ENSG00000006194	I3NI39
ENSG00000006194	O14978
ENSG00000006210	H3BSR6
ENSG00000006210	H3BV86
ENSG00000006210	J3QRA1
ENSG00000006210	P78423
ENSG00000006282	D6R947
ENSG00000006282	D6RC70
ENSG00000006282	D6RIU6
ENSG00000006282	H0Y9M1
ENSG00000006282	H0Y9W3
ENSG00000006282	Q8TB22
ENSG00000006283	A0A0B4J1X2
ENSG00000006283	H0YAN0
ENSG00000006283	I3L2W8
ENSG00000006283	O43497
ENSG00000006327	I3L0S4
ENSG00000006327	I3L1J9
ENSG00000006327	I3L3P4
ENSG00000006327	I3L539
ENSG00000006327	Q9NP84
ENSG00000006432	A0A087WW79
ENSG00000006432	G3V347
ENSG00000006432	G3V4P9
ENSG00000006432	J3KPI6
ENSG00000006432	P80192
ENSG00000006453	Q9UHR4
ENSG00000006459	H9KVD6
ENSG00000006459	Q6ZMT4
ENSG00000006530	E9PC15
ENSG00000006530	E9PG39
ENSG00000006530	F8WDD1
ENSG00000006530	Q53H12
ENSG00000006534	A0A087WTE0
ENSG00000006534	A0A087WU54
ENSG00000006534	A0A087WUF8
ENSG00000006534	A0A087X192
ENSG00000006534	A0A087X2D4
ENSG00000006534	P43353
ENSG00000006534	Q9BUJ8
ENSG00000006576	Q8N3S3
ENSG00000006607	C9JVQ5
ENSG00000006607	C9JWM9
ENSG00000006607	H7C210
ENSG00000006607	H7C3E4
ENSG00000006607	H7C3M7
ENSG00000006607	H7C447
ENSG00000006607	O94887
ENSG00000006625	A0A0B4J1Y4
ENSG00000006625	B8ZZK2
ENSG00000006625	H7BZK5
ENSG00000006625	O75223
ENSG00000006652	C9J311
ENSG00000006652	C9J7U6
ENSG00000006652	C9JA65
ENSG00000006652	C9JFH1
ENSG00000006652	C9JK78
ENSG00000006652	C9JLG5
ENSG00000006652	C9JNM6
ENSG00000006652	E9PMY4
ENSG00000006652	H0YEE3
ENSG00000006652	O00458
ENSG00000006695	H7C101
ENSG00000006695	J3KRW4
ENSG00000006695	J3KSJ3
ENSG00000006695	Q12887
ENSG00000006704	E9PFE2
ENSG00000006704	H7C4Q8
ENSG00000006704	Q9UHL9
ENSG00000006712	B4DGJ5
ENSG00000006712	M0QYC7
ENSG00000006712	Q8N7H5
ENSG00000006715	C9J2U9
ENSG00000006715	C9J3F8
ENSG00000006715	C9JU58
ENSG00000006715	C9JZ11
ENSG00000006715	H7BXH3
ENSG00000006715	H7BZX6
ENSG00000006715	H7C0K2
ENSG00000006715	P49754
ENSG00000006744	E7ES68
ENSG00000006744	G5E9D5
ENSG00000006744	H7C2I4
ENSG00000006744	J3QL08
ENSG00000006744	J3QLK4
ENSG00000006744	J3QQT1
ENSG00000006744	J3QRS2
ENSG00000006744	Q9BQ52
ENSG00000006744	V9GYS7
ENSG00000006744	V9GYU5
ENSG00000006744	V9GZ72
ENSG00000006747	C9JGB6
ENSG00000006747	E5RHN8
ENSG00000006747	E5RHX6
ENSG00000006747	F8WBX5
ENSG00000006747	Q9Y6U3
ENSG00000006757	C9IZF6
ENSG00000006757	P41247
ENSG00000006831	Q86V24
ENSG00000006837	B4DX41
ENSG00000006837	E5RFT9
ENSG00000006837	E5RGK4
ENSG00000006837	E5RI54
ENSG00000006837	E7ET86
ENSG00000006837	H0YAP8
ENSG00000006837	H0YB17
ENSG00000006837	Q8IVW4
ENSG00000007001	O95045
ENSG00000007038	I3L0U2
ENSG00000007038	I3L2G7
ENSG00000007038	I3L3C7
ENSG00000007038	I3L3F7
ENSG00000007038	Q9Y6M0
ENSG00000007047	K7EK17
ENSG00000007047	K7EKG8
ENSG00000007047	K7EN95
ENSG00000007047	Q6IPE9
ENSG00000007047	Q96GZ3
ENSG00000007047	Q96L34
ENSG00000007062	D6RBI0
ENSG00000007062	D6RCC3
ENSG00000007062	D6RIF3
ENSG00000007062	H0Y9D4
ENSG00000007062	H0Y9M7
ENSG00000007062	H0Y9Q5
ENSG00000007062	O43490
ENSG00000007080	M0R2F5
ENSG00000007080	Q96CT7
ENSG00000007168	I3L384
ENSG00000007168	I3L3N5
ENSG00000007168	I3L495
ENSG00000007168	P43034
ENSG00000007202	J3QLM5
ENSG00000007202	K7EMT1
ENSG00000007202	K7EQ86
ENSG00000007202	K7EQR3
ENSG00000007202	Q08E86
ENSG00000007202	Q14667
ENSG00000007312	P40259
ENSG00000007314	J3QQZ1
ENSG00000007314	P35499
ENSG00000007372	B1B1I8
ENSG00000007372	B1B1I9
ENSG00000007372	B1B1J0
ENSG00000007372	E9PKM0
ENSG00000007372	P26367
ENSG00000007376	H3BMZ6
ENSG00000007376	H3BQN8
ENSG00000007376	H3BRG3
ENSG00000007376	H3BS55
ENSG00000007376	H3BSG4
ENSG00000007376	H3BU91
ENSG00000007376	H3BUN6
ENSG00000007376	H3BVD0
ENSG00000007376	Q9UJJ7
ENSG00000007520	H3BQD4
ENSG00000007520	Q9UJK0
ENSG00000007541	B8ZZ29
ENSG00000007541	B8ZZ31
ENSG00000007541	B8ZZC7
ENSG00000007541	E7ERP4
ENSG00000007541	H0YFM9
ENSG00000007541	H7C336
ENSG00000007541	J3QTH6
ENSG00000007541	Q9BRB3
ENSG00000007545	H7C194
ENSG00000007545	Q96RY5
ENSG00000007923	B1AK20
ENSG00000007923	Q5TH61
ENSG00000007923	Q9NVH1
ENSG00000007933	P31513
ENSG00000007933	V9GYP3
ENSG00000007933	V9GZ60
ENSG00000008018	P20618
ENSG00000008056	P17600
ENSG00000008086	A0A096LNR9
ENSG00000008086	A0A096LP32
ENSG00000008086	A0A096LPG3
ENSG00000008086	A0A096LPI4
ENSG00000008086	O76039
ENSG00000008128	E7ESP2
ENSG00000008128	E9PFJ2
ENSG00000008128	J3KS35
ENSG00000008128	Q5QPQ9
ENSG00000008128	Q5QPR3
ENSG00000008128	Q5QPR4
ENSG00000008128	Q9UQ88
ENSG00000008130	A0A0A0MR98
ENSG00000008130	J3KSP9
ENSG00000008130	J3KTI3
ENSG00000008130	J3QR86
ENSG00000008130	J3QRC0
ENSG00000008130	O95544
ENSG00000008196	Q92481
ENSG00000008196	X6R4Y8
ENSG00000008226	Q32W76
ENSG00000008226	Q9Y238
ENSG00000008256	O43739
ENSG00000008277	E7EPF1
ENSG00000008277	E9PF78
ENSG00000008277	F8WAD8
ENSG00000008277	H7C0Q9
ENSG00000008277	H7C3I4
ENSG00000008277	Q9P0K1
ENSG00000008294	A0A087X2D8
ENSG00000008294	D6RHI8
ENSG00000008294	H0Y981
ENSG00000008294	H0YBE9
ENSG00000008294	H0YBS5
ENSG00000008294	O60271
ENSG00000008311	F8WAH1
ENSG00000008311	F8WE53
ENSG00000008311	H7C0C6
ENSG00000008311	Q9UDR5
ENSG00000008324	Q9UHA2
ENSG00000008382	M0QXC4
ENSG00000008382	M0QXK5
ENSG00000008382	M0R044
ENSG00000008382	M0R0F2
ENSG00000008382	M0R189
ENSG00000008382	Q8N594
ENSG00000008382	W4VSR2
ENSG00000008394	F5GX73
ENSG00000008394	F5H613
ENSG00000008394	F5H6X2
ENSG00000008394	F5H760
ENSG00000008394	F5H7F6
ENSG00000008394	P10620
ENSG00000008405	H0YHT0
ENSG00000008405	Q16526
ENSG00000008441	C9JWJ8
ENSG00000008441	K7EJB0
ENSG00000008441	K7EKH0
ENSG00000008441	K7EMQ5
ENSG00000008441	K7EN08
ENSG00000008441	K7EPU2
ENSG00000008441	K7ESG9
ENSG00000008441	Q14938
ENSG00000008517	C6GKH1
ENSG00000008517	E9PIV2
ENSG00000008517	E9PK07
ENSG00000008517	F8VSD2
ENSG00000008517	F8VVN4
ENSG00000008517	F8W1V1
ENSG00000008517	P24001
ENSG00000008869	H7C2X3
ENSG00000008869	Q9P2D3
ENSG00000008952	F8WCJ7
ENSG00000008952	F8WDG8
ENSG00000008952	F8WF48
ENSG00000008952	Q99442
ENSG00000008988	E5RIP1
ENSG00000008988	E5RJX2
ENSG00000008988	G3XAN0
ENSG00000008988	P60866
ENSG00000009307	E9PJK7
ENSG00000009307	E9PKN4
ENSG00000009307	E9PLD4
ENSG00000009307	E9PLT0
ENSG00000009307	E9PNG3
ENSG00000009307	O75534
ENSG00000009335	H7C0Y1
ENSG00000009335	Q15386
ENSG00000009724	O00187
ENSG00000009790	B1AJU2
ENSG00000009790	C9J0C0
ENSG00000009790	C9JBA0
ENSG00000009790	C9JXB3
ENSG00000009790	E2QRE5
ENSG00000009790	H0YF09
ENSG00000009790	Q9Y228
ENSG00000009844	A0A087WY55
ENSG00000009844	Q5TGM0
ENSG00000009844	Q9NP79
ENSG00000009954	Q9UIG0
ENSG00000010017	Q96S59
ENSG00000010030	Q9Y603
ENSG00000010072	B1AKT1
ENSG00000010072	Q9H040
ENSG00000010165	Q8N6R0
ENSG00000010219	A0A0A0MTH5
ENSG00000010219	F5GWS4
ENSG00000010219	F5H3D3
ENSG00000010219	F5H4X6
ENSG00000010219	H0YFI4
ENSG00000010219	Q9NR20
ENSG00000010244	H0Y3M2
ENSG00000010244	J3KRB6
ENSG00000010244	J3KRW6
ENSG00000010244	J3KS31
ENSG00000010244	J3KTL1
ENSG00000010244	J3QRS9
ENSG00000010244	J3QS27
ENSG00000010244	O43670
ENSG00000010244	X6R4W8
ENSG00000010256	F8WEF1
ENSG00000010256	F8WER5
ENSG00000010256	P31930
ENSG00000010270	C9J3F5
ENSG00000010270	C9JJ39
ENSG00000010270	C9JKL2
ENSG00000010270	C9JPX5
ENSG00000010270	O95772
ENSG00000010278	A0A087WU13
ENSG00000010278	A0A087WZG3
ENSG00000010278	A6NNI4
ENSG00000010278	F5GXT1
ENSG00000010278	G8JLH6
ENSG00000010278	P21926
ENSG00000010292	E7EN77
ENSG00000010292	F5GZK7
ENSG00000010292	F5H431
ENSG00000010292	Q15021
ENSG00000010318	A0A087WUI3
ENSG00000010318	A0A087X0X8
ENSG00000010318	H7C4N0
ENSG00000010318	H7C5Q8
ENSG00000010318	Q9BWX1
ENSG00000010361	E9PK12
ENSG00000010361	E9PKJ4
ENSG00000010361	E9PLA3
ENSG00000010361	E9PS25
ENSG00000010361	G5E9A4
ENSG00000010361	M0QYI7
ENSG00000010361	M0QYX9
ENSG00000010361	M0QZY8
ENSG00000010361	M0R0M0
ENSG00000010361	M0R1D4
ENSG00000010361	Q9BT04
ENSG00000010539	I3L1E4
ENSG00000010539	P98182
ENSG00000010610	F5GYA9
ENSG00000010610	F5H480
ENSG00000010610	P01730
ENSG00000010626	C9JEW3
ENSG00000010626	C9JKE8
ENSG00000010626	C9JQN5
ENSG00000010626	E9PDZ4
ENSG00000010626	F2Z299
ENSG00000010626	Q53EV4
ENSG00000010671	Q06187
ENSG00000010671	Q5JY90
ENSG00000010671	U3NG26
ENSG00000010704	F8W7W8
ENSG00000010704	H7C4K4
ENSG00000010704	Q30201
ENSG00000010704	Q6B0J5
ENSG00000010803	A0A087WW29
ENSG00000010803	Q96GD3
ENSG00000010810	E5RFM0
ENSG00000010810	E5RFM4
ENSG00000010810	E5RFM6
ENSG00000010810	E5RFS5
ENSG00000010810	E5RGM6
ENSG00000010810	E5RGT0
ENSG00000010810	E5RH71
ENSG00000010810	E5RHF7
ENSG00000010810	E5RHX7
ENSG00000010810	E5RI25
ENSG00000010810	E5RIX5
ENSG00000010810	E5RJX7
ENSG00000010810	E5RK23
ENSG00000010810	P06241
ENSG00000010818	P31629
ENSG00000011007	A0A024RAC6
ENSG00000011007	Q14241
ENSG00000011021	P51797
ENSG00000011021	Q5SNW4
ENSG00000011105	B5MD23
ENSG00000011105	E9PHL0
ENSG00000011105	O75954
ENSG00000011132	O96018
ENSG00000011198	C9J1D1
ENSG00000011198	C9JBM3
ENSG00000011198	F8W7B5
ENSG00000011198	H7BZY9
ENSG00000011198	Q8WTS1
ENSG00000011201	A0A087WUK9
ENSG00000011201	P23352
ENSG00000011243	M0QYT7
ENSG00000011243	M0R008
ENSG00000011243	M0R010
ENSG00000011243	M0R1L5
ENSG00000011243	M0R1Y5
ENSG00000011243	Q9ULX6
ENSG00000011243	V9GZ50
ENSG00000011258	K7EQ11
ENSG00000011258	Q05BQ5
ENSG00000011260	F6VJE8
ENSG00000011260	J3KSR7
ENSG00000011260	J3QLD6
ENSG00000011260	J3QR85
ENSG00000011260	J3QRG0
ENSG00000011260	Q9Y5J1
ENSG00000011275	C9JIV3
ENSG00000011275	F8W6D1
ENSG00000011275	F8WDI8
ENSG00000011275	Q9NWF9
ENSG00000011295	K7EJA1
ENSG00000011295	K7EKH7
ENSG00000011295	K7EKS0
ENSG00000011295	K7ELX2
ENSG00000011295	K7ERR1
ENSG00000011295	Q6DKK2
ENSG00000011304	A0A087WTS6
ENSG00000011304	A0A087WU68
ENSG00000011304	A0A087WUW5
ENSG00000011304	A0A0D9SF20
ENSG00000011304	A6NLN1
ENSG00000011304	K7EK45
ENSG00000011304	K7EKJ7
ENSG00000011304	K7EKX4
ENSG00000011304	K7ELW5
ENSG00000011304	K7ES59
ENSG00000011304	P26599
ENSG00000011376	C9IZR7
ENSG00000011376	C9JYR8
ENSG00000011376	E9PHM2
ENSG00000011376	Q15031
ENSG00000011405	A0A0C4DGF9
ENSG00000011405	E9PPP3
ENSG00000011405	O00443
ENSG00000011426	C9J0G4
ENSG00000011426	C9JJT6
ENSG00000011426	H7C0Y6
ENSG00000011426	H7C167
ENSG00000011426	H7C1C2
ENSG00000011426	H7C1K5
ENSG00000011426	H7C3R2
ENSG00000011426	H7C3S1
ENSG00000011426	Q9NQW6
ENSG00000011451	B9EGQ5
ENSG00000011451	M0QXA7
ENSG00000011451	M0QXF8
ENSG00000011451	O95785
ENSG00000011478	K7EQG1
ENSG00000011478	Q9NXS2
ENSG00000011485	A8MU39
ENSG00000011485	H0YDU8
ENSG00000011485	P53041
ENSG00000011523	Q5HYA6
ENSG00000011523	Q76N32
ENSG00000011566	F5H5A3
ENSG00000011566	F8WAZ1
ENSG00000011566	F8WBC3
ENSG00000011566	H7C1A4
ENSG00000011566	Q8IVH8
ENSG00000011566	V9GY95
ENSG00000012048	A0A0A0MSN1
ENSG00000012048	B7ZA85
ENSG00000012048	C6YB45
ENSG00000012048	C9IZW4
ENSG00000012048	E7ENB7
ENSG00000012048	E7EQW4
ENSG00000012048	E7EUM2
ENSG00000012048	E7EWN5
ENSG00000012048	E9PC22
ENSG00000012048	E9PH68
ENSG00000012048	G1UI37
ENSG00000012048	H0Y850
ENSG00000012048	H0Y881
ENSG00000012048	H0Y8B8
ENSG00000012048	H0Y8D8
ENSG00000012048	K7EJW3
ENSG00000012048	K7EPC7
ENSG00000012048	P38398
ENSG00000012048	Q3B891
ENSG00000012048	Q5YLB2
ENSG00000012061	K7EJL2
ENSG00000012061	K7EJW9
ENSG00000012061	K7EK97
ENSG00000012061	K7EMT9
ENSG00000012061	K7EP14
ENSG00000012061	K7ER60
ENSG00000012061	K7ER89
ENSG00000012061	K7ES46
ENSG00000012061	P07992
ENSG00000012124	A0A087WZQ4
ENSG00000012124	A0A0C4DH08
ENSG00000012124	M0QY05
ENSG00000012124	M0QY14
ENSG00000012124	M0QYP4
ENSG00000012124	M0QZ01
ENSG00000012124	M0QZP5
ENSG00000012124	M0QZR7
ENSG00000012124	M0R0R6
ENSG00000012124	M0R1M2
ENSG00000012124	M0R2M0
ENSG00000012124	M0R2R8
ENSG00000012124	M0R3H1
ENSG00000012124	P20273
ENSG00000012174	B9ZVQ3
ENSG00000012174	O43462
ENSG00000012211	A0A0A0MRT7
ENSG00000012211	F5H4N2
ENSG00000012211	H0Y413
ENSG00000012211	H7BZP7
ENSG00000012211	O43900
ENSG00000012504	F8W1M1
ENSG00000012504	F8W656
ENSG00000012504	G8JLB0
ENSG00000012504	H0YHD5
ENSG00000012504	Q96RI1
ENSG00000012660	A0A0A0MTI6
ENSG00000012660	Q9NYP7
ENSG00000012817	C9JGA3
ENSG00000012817	E9PFH2
ENSG00000012817	H7BZF9
ENSG00000012817	Q9BY66
ENSG00000012822	F8VPN1
ENSG00000012822	F8VQE3
ENSG00000012822	F8VRQ9
ENSG00000012822	F8VUB3
ENSG00000012822	F8VWP8
ENSG00000012822	F8VXS2
ENSG00000012822	F8VZI3
